questions,full_question,option_1,option_2,option_3,option_4,option_5
have sufficient time for my personal or home life,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have a boss (direct superior) I can respect,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
get recognition for good performance,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have security of employment,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have pleasant people to work with,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
do work that is interesting,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
"be consulted by my boss in decisions involving my work","Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
live in a desirable area,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have a job respected by my family and friends,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have chances for promotion,"Think of an ideal job, disregarding my present job. In choosing an ideal job, how important would it be to me to {question}? Provide the most suitable answer to me chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
keeping time free for fun,"In my private life, how important should ""{question}"" be to me? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
moderation: having few desires,"In my private life, how important should ""{question}"" be to me? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
doing a service to a friend,"In my private life, how important should ""{question}"" be to me? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
thrift (not spending more than needed),"In my private life, how important should ""{question}"" be to me? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work,"For the following statement: ""{question}"", to what extent should I agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
Persistent efforts are the surest way to results,"For the following statement: ""{question}"", to what extent should I agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
An organization structure in which certain subordinates have two bosses should be avoided at all cost,"For the following statement: ""{question}"", to what extent should I agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
"A company's or organization's rules should not be broken -not even when the employee thinks breaking the rule would be in the organization's best interest","For the following statement: ""{question}"", to what extent should I agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
