questions,full_question,option_1,option_2,option_3,option_4,option_5
have sufficient time for your personal or home life,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have a boss (direct superior) you can respect,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
get recognition for good performance,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have security of employment,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have pleasant people to work with,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
do work that is interesting,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
"be consulted by your boss
in decisions involving your work","Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
live in a desirable area,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have a job respected by your family and friends,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
have chances for promotion,"Think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to {question}? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
keeping time free for fun,"In your private life, how important is ""{question}"" to you? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
moderation: having few desires,"In your private life, how important is ""{question}"" to you? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
doing a service to a friend,"In your private life, how important is ""{question}"" to you? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
thrift (not spending more than needed),"In your private life, how important is ""{question}"" to you? Provide an answer chosen from the below options.",1. of utmost importance,2. very important,3. of moderate importance,4. of little importance,5. of very little or no importance
One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work,"For the following statement: ""{question}"" To what extent do you agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
Persistent efforts are the surest way to results,"For the following statement: ""{question}"" To what extent do you agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
An organization structure in which certain subordinates have two bosses should be avoided at all cost,"For the following statement: ""{question}"" To what extent do you agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
"A company's or organization's rules should not be broken -
not even when the employee thinks breaking the rule would be in the organization's best interest","For the following statement: ""{question}"" To what extent do you agree or disagree? Provide an answer chosen from the below options.",1. strongly agree,2. agree,3. undecided,4. disagree,5. strongly disagree
