Group_Full,Group,Llama3.1-8B-Instruct,Llama3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
30-40 vs 40-50,30-40 vs 40-50,0.0,0.0,0.0,0.0,0.0,0.0
30-40 vs 50-60,30-40 vs 50-60,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
30-40 vs >60,30-40 vs >60,1.6666666666666667,3.3333333333333335,2.5,5.0,2.5,5.0
40-50 vs 50-60,40-50 vs 50-60,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
40-50 vs >60,40-50 vs >60,1.6666666666666667,3.3333333333333335,2.5,5.0,2.5,5.0
50-60 vs >60,50-60 vs >60,0.0,3.3333333333333335,2.5,5.0,2.5,5.0
<30 vs 30-40,<30 vs 30-40,1.6666666666666667,1.6666666666666667,2.5,0.0,2.5,0.0
<30 vs 40-50,<30 vs 40-50,1.6666666666666667,1.6666666666666667,2.5,0.0,2.5,0.0
<30 vs 50-60,<30 vs 50-60,3.3333333333333335,1.6666666666666667,2.5,0.0,2.5,0.0
<30 vs >60,<30 vs >60,3.3333333333333335,5.0,5.0,5.0,5.0,5.0
