Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
30-40 vs 40-50,30-40 vs 40-50,1.544928335170893,1.2045298558682223,0.15486725663716816,0.60431654676259,0.0,0.5128205128205129,0.7468354430379746
30-40 vs 50-60,30-40 vs 50-60,1.3409592061742008,0.6039807824296499,0.8517699115044248,1.0611510791366907,0.7142857142857144,0.5128205128205129,1.5443037974683544
30-40 vs >60,30-40 vs >60,2.4407386990077162,1.0844200411805078,2.2898230088495577,2.100719424460432,2.1428571428571432,3.11965811965812,2.926582278481013
40-50 vs 50-60,40-50 vs 50-60,1.631753031973539,1.1770761839396016,1.006637168141593,1.0611510791366907,0.7142857142857144,0.3418803418803419,0.7974683544303798
40-50 vs >60,40-50 vs >60,1.3809261300992282,1.4653397391901164,2.1349557522123894,2.100719424460432,2.1428571428571432,2.948717948717949,2.179746835443038
50-60 vs >60,50-60 vs >60,1.7171995589856663,0.4804392587508579,1.4380530973451329,1.4928057553956835,2.8571428571428577,2.948717948717949,1.382278481012658
<30 vs 30-40,<30 vs 30-40,0.9660970231532524,1.7089910775566228,1.084070796460177,0.8309352517985611,2.1428571428571432,1.3675213675213675,0.8177215189873417
<30 vs 40-50,<30 vs 40-50,1.2155457552370452,0.696636925188744,1.2389380530973453,0.8309352517985611,2.1428571428571432,1.5384615384615388,1.0632911392405062
<30 vs 50-60,<30 vs 50-60,1.5352811466372658,1.8737131091283457,1.935840707964602,1.4388489208633093,2.8571428571428577,1.1965811965811965,1.860759493670886
<30 vs >60,<30 vs >60,2.0562293274531416,2.1619766643788605,2.444690265486726,2.9316546762589937,4.2857142857142865,3.11965811965812,3.10126582278481
