Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Agricultural Related vs No Job,AG vs No Job,1.3989092325671992,1.4000000000000001,1.953488372093023,0.7746759720837488,1.027972027972028,1.8762109795479012,1.5554959785522786
Clerical & Sales vs Agricultural Related,CS vs AG,1.6116088819633811,1.6179487179487182,2.5813953488372094,1.6959122632103691,2.5384615384615383,2.3541442411194833,2.301876675603217
Clerical & Sales vs Managerial / Professional,CS vs MP,1.4818854694195556,1.041025641025641,1.255813953488372,1.304087736789631,0.4405594405594405,1.2691065662002152,1.0487935656836458
Clerical & Sales vs No Job,CS vs No Job,1.390728476821192,1.8333333333333337,1.7441860465116281,1.423728813559322,1.5104895104895104,1.743810548977395,1.3769436997319033
Clerical & Sales vs Service & Labor,CS vs SL,0.9746786131671215,1.471794871794872,0.627906976744186,0.6939182452642075,1.3216783216783217,0.542518837459634,0.641823056300268
Clerical & Sales vs Skilled & Semi-Skilled,CS vs SS,0.6883521620568759,1.3282051282051281,0.7674418604651162,1.5523429710867398,1.06993006993007,0.6329386437029063,0.7431635388739946
Managerial / Professional vs Agricultural Related,MP vs AG,2.5372029606544597,1.797435897435898,2.441860465116279,2.8325024925224334,2.9790209790209787,3.0807319698600644,3.170509383378015
Managerial / Professional vs No Job,MP vs No Job,2.807167900272692,2.4435897435897442,2.7209302325581395,2.7278165503489538,1.9510489510489508,3.0129171151776104,2.4257372654155485
Service & Labor vs Agricultural Related,SL vs AG,1.6045968056096611,1.366666666666667,2.2325581395348837,1.7198404785643073,1.2167832167832169,1.8116254036598494,2.0203753351206433
Service & Labor vs Managerial / Professional,SL vs MP,1.25983638488508,1.3282051282051286,1.6046511627906976,1.280159521435693,1.762237762237762,1.811625403659849,1.4203753351206432
Service & Labor vs No Job,SL vs No Job,1.6782236073237236,1.5461538461538462,1.3953488372093024,1.4476570289132602,0.1888111888111888,1.2012917115177608,1.0053619302949062
Skilled & Semi-Skilled vs Agricultural Related,SS vs AG,1.940007791195948,1.366666666666667,2.6511627906976747,0.8614157527417747,1.846153846153846,2.4445640473627557,1.9190348525469167
Skilled & Semi-Skilled vs Managerial / Professional,SS vs MP,1.5134398130112967,1.1846153846153846,1.744186046511628,1.9710867397806584,1.5104895104895104,1.721205597416577,1.701876675603217
Skilled & Semi-Skilled vs No Job,SS vs No Job,1.4246201791975066,1.4025641025641027,0.9767441860465118,1.1335992023928216,0.8181818181818182,1.2917115177610332,0.9265415549597855
Skilled & Semi-Skilled vs Service & Labor,SS vs SL,0.8589793533307365,0.7179487179487181,0.6976744186046512,1.3609172482552343,0.6293706293706294,0.6329386437029063,0.46166219839142086
