Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Lower class vs Upper class,LC vs UC,1.9351935193519347,2.082051282051282,2.7604166666666665,1.0797950219619326,3.147058823529412,2.166110183639399,1.7835855112333792
Lower middle class vs Lower class,LMC vs LC,1.0207020702070206,1.2923076923076922,1.3541666666666663,0.9516837481698387,0.8235294117647061,1.5818030050083474,1.5910132966529114
Lower middle class vs Upper class,LMC vs UC,2.8046804680468043,1.7948717948717947,1.8229166666666663,1.7679355783308928,3.558823529411765,1.0517529215358932,1.6414488766620816
Lower middle class vs Upper middle class,LMC vs UMC,0.81998199819982,0.8461538461538461,0.8333333333333334,1.0248901903367496,0.6176470588235295,1.5484140233722874,1.3823933975240714
Upper middle class vs Lower class,UMC vs LC,1.7272727272727264,1.7076923076923076,1.1458333333333333,1.771595900439238,1.4411764705882355,3.1302170283806348,2.5882622650160476
Upper middle class vs Upper class,UMC vs UC,2.8055805580558046,2.6410256410256414,1.8229166666666663,2.5878477306002927,2.9411764705882355,1.8989983305509184,2.3819348922512606
Working class vs Lower class,WC vs LC,0.9585958595859585,1.5076923076923077,0.9895833333333331,0.7723279648609076,0.8235294117647061,1.4649415692821368,1.1416781292984868
Working class vs Lower middle class,WC vs LMC,0.5427542754275427,0.7897435897435896,1.5104166666666665,1.255490483162518,0.0,0.8180300500834724,0.577716643741403
Working class vs Upper class,WC vs UC,2.4905490549054905,2.5846153846153843,2.6041666666666665,1.1273792093704242,3.558823529411765,1.869782971619366,1.8340210912425492
Working class vs Upper middle class,WC vs UMC,1.1341134113411337,0.7743589743589743,1.3020833333333333,2.2803806734992675,0.6176470588235295,2.3664440734557597,1.9601100412654744
