Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
30-40 vs 40-50,30-40 vs 40-50,1.544928335170893,2.4981046247156935,0.935672514619883,0.0,0.7486631016042781,0.6433823529411765,0.9384615384615382
30-40 vs 50-60,30-40 vs 50-60,1.3409592061742008,0.5875663381349507,1.6374269005847955,0.7954545454545453,1.7825311942959,1.0073529411764706,1.369230769230769
30-40 vs >60,30-40 vs >60,2.4407386990077162,2.1493555724033357,2.543859649122807,3.560606060606061,1.8137254901960784,2.757352941176471,2.676923076923077
40-50 vs 50-60,40-50 vs 50-60,1.631753031973539,1.910538286580743,0.9356725146198831,0.7954545454545453,1.033868092691622,1.1875000000000002,0.7999999999999998
40-50 vs >60,40-50 vs >60,1.3809261300992282,2.4715693707354056,1.842105263157895,3.560606060606061,1.0650623885918002,2.113970588235294,2.384615384615384
50-60 vs >60,50-60 vs >60,1.7171995589856663,1.834723275208491,1.95906432748538,2.765151515151515,0.7798573975044563,2.36764705882353,1.5846153846153845
<30 vs 30-40,<30 vs 30-40,0.9660970231532524,1.0121304018195603,0.7017543859649122,0.37878787878787873,1.1541889483065952,1.2352941176470589,0.5076923076923077
<30 vs 40-50,<30 vs 40-50,1.2155457552370452,1.4859742228961335,1.4035087719298245,0.37878787878787873,1.902852049910873,1.261029411764706,1.446153846153846
<30 vs 50-60,<30 vs 50-60,1.5352811466372658,0.849128127369219,2.339181286549708,1.1742424242424239,2.6871657754010694,1.8308823529411764,1.876923076923077
<30 vs >60,<30 vs >60,2.0562293274531416,2.047005307050796,2.309941520467836,3.409090909090909,2.7183600713012472,2.5514705882352944,3.184615384615384
