Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Bachelor vs Master’s & Doctoral,BA vs MD,1.34531477249117,1.9691011235955058,1.1417322834645671,2.440677966101695,1.4300773014757555,1.1330561330561328,0.32204330927262625
Basic education vs Bachelor,BE vs BA,2.1036775399958443,1.7724719101123596,3.031496062992127,1.3389830508474578,1.5038650737877723,2.837837837837838,2.412548584119933
Basic education vs High school & equivalent,BE vs HS,1.3027217951381675,0.3146067415730337,2.2834645669291342,1.1016949152542372,0.39353478566408995,2.4064449064449063,1.2853970016657412
Basic education vs Master’s & Doctoral,BE vs MD,2.7363390816538553,1.9269662921348316,2.834645669291339,3.7796610169491536,2.4841883345045677,3.679833679833679,2.6568573014991665
Basic education vs Short-cycle tertiary,BE vs SCT,1.2310409308123833,1.5365168539325842,2.1259842519685037,2.084745762711864,1.4054813773717498,2.8794178794178795,2.3070516379789003
High school & equivalent vs Bachelor,HS vs BA,1.2227301059630171,1.4578651685393258,1.0629921259842519,0.23728813559322035,1.307097680955727,0.8056133056133056,1.1271515824541922
High school & equivalent vs Master’s & Doctoral,HS vs MD,1.8408477041346352,2.0842696629213484,0.8661417322834647,2.6779661016949157,2.4841883345045677,1.2733887733887732,1.3714602998334258
High school & equivalent vs Short-cycle tertiary,HS vs SCT,0.9609391232079786,1.2219101123595508,0.47244094488188976,0.983050847457627,1.4054813773717496,0.4729729729729729,1.0216546363131593
Short-cycle tertiary vs Bachelor,SCT vs BA,0.9889881570745901,0.7471910112359551,1.220472440944882,0.983050847457627,0.6886858749121574,0.3326403326403326,0.28317601332593
Short-cycle tertiary vs Master’s & Doctoral,SCT vs MD,1.5634739247870348,1.3792134831460676,0.7086614173228346,1.694915254237288,1.331693605059733,0.8004158004158003,0.3498056635202665
