Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Lower class vs Upper class,LC vs UC,1.9351935193519347,2.477497749774977,2.0418848167539267,2.988505747126437,2.6152158010241404,2.4066666666666667,2.5527704485488125
Lower middle class vs Lower class,LMC vs LC,1.0207020702070206,1.3253825382538253,1.282722513089005,0.5363984674329502,1.6386247256766642,0.9566666666666668,0.9828496042216359
Lower middle class vs Upper class,LMC vs UC,2.8046804680468043,2.317731773177318,2.225130890052356,2.4521072796934864,2.000731528895391,1.8233333333333333,2.0778364116094985
Lower middle class vs Upper middle class,LMC vs UMC,0.81998199819982,1.278127812781278,1.0732984293193717,1.475095785440613,1.3606437454279443,1.17,1.4083113456464382
Upper middle class vs Lower class,UMC vs LC,1.7272727272727264,1.6854185418541854,2.356020942408377,2.0114942528735633,2.179956108266276,2.1266666666666665,2.391160949868074
Upper middle class vs Upper class,UMC vs UC,2.8055805580558046,2.9657965796579657,1.3612565445026177,3.659003831417625,1.459400146305779,0.8400000000000002,2.1701846965699207
Working class vs Lower class,WC vs LC,0.9585958595859585,0.8033303330333031,1.0732984293193717,0.40229885057471265,0.6144842721287491,0.56,0.6942612137203166
Working class vs Lower middle class,WC vs LMC,0.5427542754275427,0.8055805580558055,0.418848167539267,0.6704980842911878,1.024140453547915,0.9566666666666667,0.5656332453825857
Working class vs Upper class,WC vs UC,2.4905490549054905,1.9576957695769577,2.0157068062827226,2.854406130268199,2.205559619604974,2.7800000000000002,2.2740765171503954
Working class vs Upper middle class,WC vs UMC,1.1341134113411337,1.5436543654365436,1.2827225130890052,1.8773946360153255,1.77029992684711,2.1266666666666665,1.6968997361477576
