Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
30-40 vs 40-50,30-40 vs 40-50,1.544928335170893,0.558213716108453,0.6623586429725362,0.6167400881057268,0.5072463768115941,1.0,0.41527623285131626
30-40 vs 50-60,30-40 vs 50-60,1.3409592061742008,0.6738437001594898,1.322024771136241,1.1013215859030836,1.3043478260869565,1.5952380952380956,1.0659992584352986
30-40 vs >60,30-40 vs >60,2.4407386990077162,1.702551834130782,2.6790522347872914,2.444933920704846,1.7149758454106283,2.0714285714285716,3.090470893585465
40-50 vs 50-60,40-50 vs 50-60,1.631753031973539,1.0087719298245617,0.9989229940764672,0.6607929515418501,1.42512077294686,0.5952380952380953,0.9621802002224695
40-50 vs >60,40-50 vs >60,1.3809261300992282,1.8141945773524724,2.355950457727517,2.533039647577093,1.4009661835748795,1.642857142857143,2.9866518353726366
50-60 vs >60,50-60 vs >60,1.7171995589856663,1.6507177033492826,1.8093699515347332,2.048458149779736,1.1835748792270533,1.8095238095238093,2.0244716351501673
<30 vs 30-40,<30 vs 30-40,0.9660970231532524,1.4513556618819778,0.45234248788368336,1.4096916299559472,1.9806763285024156,0.761904761904762,0.635891731553578
<30 vs 40-50,<30 vs 40-50,1.2155457552370452,1.7862838915470498,0.9639203015616584,2.026431718061674,2.101449275362319,1.7619047619047619,0.8435298479792361
<30 vs 50-60,<30 vs 50-60,1.5352811466372658,2.1251993620414678,1.6235864297253633,1.7180616740088106,1.4492753623188406,2.166666666666667,1.4682981090100113
<30 vs >60,<30 vs >60,2.0562293274531416,2.2607655502392343,2.9806138933764137,3.061674008810573,2.4396135265700485,2.2619047619047623,3.4927697441601775
