Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Bachelor vs Master’s & Doctoral,BA vs MD,1.34531477249117,1.2639405204460965,1.0100117785630154,1.0294117647058822,0.7479224376731302,1.0766115423557208,0.9429078538677711
Basic education vs Bachelor,BE vs BA,2.1036775399958443,2.509293680297398,2.5161955241460543,2.783088235294117,2.1468144044321327,1.9271009112386097,2.2896021298624465
Basic education vs High school & equivalent,BE vs HS,1.3027217951381675,2.100371747211896,1.7226148409893993,1.545955882352941,1.28808864265928,0.7931150860614244,1.1766010945126457
Basic education vs Master’s & Doctoral,BE vs MD,2.7363390816538553,3.3271375464684008,3.2788574793875145,3.2720588235294104,2.645429362880886,2.9092136348295643,3.1910959917172024
Basic education vs Short-cycle tertiary,BE vs SCT,1.2310409308123833,2.137546468401487,2.1967020023557127,1.8566176470588232,1.3019390581717452,1.797165035437057,1.7201597396834791
High school & equivalent vs Bachelor,HS vs BA,1.2227301059630171,0.8550185873605949,0.7935806831566549,1.2371323529411764,0.8587257617728531,1.1339858251771855,1.1130010353498
High school & equivalent vs Master’s & Doctoral,HS vs MD,1.8408477041346352,2.118959107806692,1.8035924617196704,1.7261029411764706,1.6066481994459836,2.2105973675329063,2.014494897204556
High school & equivalent vs Short-cycle tertiary,HS vs SCT,0.9609391232079786,0.6319702602230483,0.47408716136631324,0.5422794117647058,1.038781163434903,1.004049949375633,0.5435586451708329
Short-cycle tertiary vs Bachelor,SCT vs BA,0.9889881570745901,0.5204460966542752,0.3194935217903416,0.9264705882352939,1.1772853185595569,0.4134323320958488,0.5694423901789677
Short-cycle tertiary vs Master’s & Doctoral,SCT vs MD,1.5634739247870348,1.6356877323420072,1.329505300353357,1.415441176470588,1.5650969529085874,1.4900438744515698,1.4709362520337226
