Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Agricultural Related vs No Job,AG vs No Job,1.3989092325671992,1.4328358208955223,1.6167832167832172,2.0051234280391244,0.8057142857142857,1.0333080999242998,1.2555555555555555
Clerical & Sales vs Agricultural Related,CS vs AG,1.6116088819633811,1.9402985074626866,2.1860139860139864,1.5565905915230556,1.5771428571428572,1.5442846328538986,1.8968253968253967
Clerical & Sales vs Managerial / Professional,CS vs MP,1.4818854694195556,1.6119402985074627,0.9020979020979021,1.106660456450862,1.4228571428571426,1.9099167297501893,1.6007936507936504
Clerical & Sales vs No Job,CS vs No Job,1.390728476821192,1.5820895522388057,2.018181818181819,2.1727992547741035,1.9714285714285715,1.6555639666919,1.6190476190476193
Clerical & Sales vs Service & Labor,CS vs SL,0.9746786131671215,0.5671641791044776,1.058741258741259,0.6357708430367955,0.96,0.906131718395155,0.8952380952380954
Clerical & Sales vs Skilled & Semi-Skilled,CS vs SS,0.6883521620568759,0.8955223880597014,0.7356643356643356,0.44993013507219376,0.9942857142857141,0.3974261922785768,0.5230158730158732
Managerial / Professional vs Agricultural Related,MP vs AG,2.5372029606544597,2.477611940298507,2.8531468531468533,2.6632510479739167,2.9999999999999996,3.454201362604087,3.364285714285715
Managerial / Professional vs No Job,MP vs No Job,2.807167900272692,2.71641791044776,2.685314685314686,3.044713553795994,3.0857142857142854,3.565480696442089,3.219841269841271
Service & Labor vs Agricultural Related,SL vs AG,1.6045968056096611,1.552238805970149,1.5412587412587413,1.7228691197019095,0.6171428571428571,1.1468584405753217,1.4682539682539681
Service & Labor vs Managerial / Professional,SL vs MP,1.25983638488508,1.5223880597014925,1.3902097902097905,1.507685142058687,2.382857142857143,2.816048448145344,2.4960317460317465
Service & Labor vs No Job,SL vs No Job,1.6782236073237236,1.6716417910447758,1.3734265734265736,1.8500232883092684,1.0114285714285716,0.7494322482967448,0.9015873015873016
Skilled & Semi-Skilled vs Agricultural Related,SS vs AG,1.940007791195948,2.238805970149253,1.6293706293706294,1.184909175593852,1.337142857142857,1.1468584405753217,1.5071428571428571
Skilled & Semi-Skilled vs Managerial / Professional,SS vs MP,1.5134398130112967,0.716417910447761,1.223776223776224,1.5565905915230553,1.8,2.307342922028766,2.1238095238095243
Skilled & Semi-Skilled vs No Job,SS vs No Job,1.4246201791975066,1.9999999999999998,1.461538461538462,1.72286911970191,1.7314285714285715,1.258137774413323,1.0960317460317461
Skilled & Semi-Skilled vs Service & Labor,SS vs SL,0.8589793533307365,0.8059701492537312,0.40139860139860145,0.7727061015370283,0.72,0.5087055261165783,0.3722222222222223
