Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct
Africa vs Asia,0.0,1.2464312546957175,0.0,1.3235294117647056,0.3529411764705882
Africa vs Europe,0.0,2.069120961682945,0.0,1.8308823529411766,1.983288770053476
Africa vs North America,1.8031582083623003,1.9113448534936137,2.2117525239451203,1.3897058823529411,1.7145721925133692
Africa vs Oceania,2.5235872479888766,3.220886551465063,3.4310121667098117,2.0073529411764706,2.9518716577540096
Africa vs South America,0.8348396067136754,1.469571750563486,1.220812839761843,1.2573529411764706,0.29679144385026734
Asia vs Africa,1.3443241632734133,0.0,1.3512813875226506,0.0,0.0
Asia vs Europe,0.0,1.012021036814425,0.0,1.566176470588235,1.6303475935828877
Asia vs North America,1.1762836428642365,1.0435762584522912,1.0344292001035464,1.1249999999999998,1.361631016042781
Asia vs Oceania,1.7298639388221273,2.542449286250939,2.253688842868237,2.2720588235294117,2.598930481283422
Asia vs South America,1.0934551594001387,1.1066867017280237,0.47838467512296146,0.6397058823529411,0.39304812834224595
Europe vs Africa,1.9920548217300629,0.0,2.3204763137457936,0.0,0.0
Europe vs Asia,1.2150163869301813,0.0,1.1431529899042194,0.0,0.0
Europe vs North America,0.956400834243718,0.5995492111194589,0.2826818534817499,0.4411764705882353,0.7179144385026737
Europe vs Oceania,1.215612275300427,1.5304282494365138,1.3714729484856327,0.8823529411764706,0.9685828877005347
Europe vs South America,1.4241732048862845,0.7888805409466565,1.447579601346104,1.8088235294117645,1.6864973262032086
North America vs Oceania,1.3544542655675835,2.0037565740045076,1.3932177064457671,1.1470588235294117,1.2372994652406415
North America vs South America,0.0,0.8204357625845228,0.0,1.3676470588235292,1.4177807486631018
Oceania vs South America,0.0,2.3193087903831704,0.0,2.514705882352941,2.655080213903743
South America vs North America,1.2019068427847845,0.0,1.2518767797048926,0.0,0.0
South America vs Oceania,2.0558148773463114,0.0,2.5581154543101214,0.0,0.0
