Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Lower class vs Upper class,LC vs UC,1.9351935193519347,2.6177285318559553,2.564040009758478,2.5762355415352256,2.6814159292035393,3.004185194873136,2.480166733898077
Lower middle class vs Lower class,LMC vs LC,1.0207020702070206,1.8698060941828256,1.640644059526714,1.3906414300736067,1.1769911504424782,1.3471095997907405,1.5254807045851824
Lower middle class vs Upper class,LMC vs UC,2.8046804680468043,1.883656509695291,1.574774335203708,1.57465825446898,2.3362831858407076,1.950039236201935,1.492537313432836
Lower middle class vs Upper middle class,LMC vs UMC,0.81998199819982,0.8310249307479225,1.408880214686509,1.5470557308096742,1.5044247787610623,1.263405702328015,1.445475326072341
Upper middle class vs Lower class,UMC vs LC,1.7272727272727264,2.5346260387811634,3.0495242742132227,2.716876971608832,2.2035398230088497,2.6105153021187544,2.970956030657524
Upper middle class vs Upper class,UMC vs UC,2.8055805580558046,1.9390581717451525,1.0026835813613075,0.8767087276550999,1.2212389380530977,1.2908710436829716,1.3379050692483527
Working class vs Lower class,WC vs LC,0.9585958595859585,1.620498614958449,1.5723347157843377,1.0778128286014723,0.9911504424778763,0.9809050483913158,1.1960467930617185
Working class vs Lower middle class,WC vs LMC,0.5427542754275427,0.5817174515235456,0.34154671871188097,0.3128286014721346,0.256637168141593,0.4394454616793094,0.4423826811886514
Working class vs Upper class,WC vs UC,2.4905490549054905,1.800554016620499,1.506464991461332,1.6666666666666663,2.1504424778761058,2.3162437876013597,1.7654968401237057
Working class vs Upper middle class,WC vs UMC,1.1341134113411337,0.9141274238227147,1.477189558428885,1.6390641430073605,1.5309734513274338,1.702851164007324,1.887858007260993
